fantasy_player_id,player_first_name,player_last_name,nba_player_id
410.p.6083,Theo,Pinson,1629033.0
410.p.6092,Wenyen,Gabriel,1629117.0
410.p.6100,Norvel,Pelle,203658.0
410.p.6102,Brandon,Goodwin,1629164.0
410.p.6104,B.J.,Johnson,1629168.0
410.p.6109,Drew,Eubanks,1629234.0
410.p.6114,Kendrick,Nunn,1629134.0
410.p.6119,Chris,Chiozza,1629185.0
410.p.6121,Gary,Clark,1629109.0
410.p.6132,Yuta,Watanabe,1629139.0
410.p.6133,Jordan,McLaughlin,1629162.0
410.p.6135,Johnny,Hamilton,1629148.0
410.p.6144,Emanuel,Terry,1629150.0
410.p.6148,Cameron,Reynolds,1629244.0
410.p.6149,Paul,Watson,1628778.0
410.p.6155,Haywood,Highsmith,1629312.0
410.p.6163,Zion,Williamson,1629627.0
410.p.6164,Ja,Morant,1629630.0
410.p.6165,RJ,Barrett,1629628.0
410.p.6166,De'Andre,Hunter,1629631.0
410.p.6167,Darius,Garland,1629636.0
410.p.6168,Jarrett,Culver,1629633.0
410.p.6169,Coby,White,1629632.0
410.p.6170,Jaxson,Hayes,1629637.0
410.p.6171,Rui,Hachimura,1629060.0
410.p.6172,Cam,Reddish,1629629.0
410.p.6173,Cameron,Johnson,1629661.0
410.p.6174,PJ,Washington,1629023.0
410.p.6175,Tyler,Herro,1629639.0
410.p.6176,Romeo,Langford,1629641.0
410.p.6203,Sekou,Doumbouya,1629635.0
410.p.6204,Chuma,Okeke,1629643.0
410.p.6205,Nickeil,Alexander-Walker,1629638.0
410.p.6206,Goga,Bitadze,1629048.0
410.p.6207,Luka,Samanic,1629677.0
410.p.6208,Matisse,Thybulle,1629680.0
410.p.6209,Brandon,Clarke,1629634.0
410.p.6210,Grant,Williams,1629684.0
410.p.6211,Darius,Bazley,1629647.0
410.p.6212,Ty,Jerome,1629660.0
410.p.6213,Nassir,Little,1629642.0
410.p.6214,Dylan,Windler,1629685.0
410.p.6215,Mfiondu,Kabengele,1629662.0
410.p.6216,Jordan,Poole,1629673.0
410.p.6217,Keldon,Johnson,1629640.0
410.p.6218,Kevin,Porter Jr.,1629645.0
410.p.6219,Nicolas,Claxton,1629651.0
410.p.6220,KZ,Okpala,1629644.0
410.p.6221,Carsen,Edwards,1629035.0
410.p.6222,Bruno,Fernando,1628981.0
410.p.6223,Didi,Louzada,1629712.0
410.p.6224,Cody,Martin,1628998.0
410.p.6225,Deividas,Sirvydis,1629686.0
410.p.6226,Daniel,Gafford,1629655.0
410.p.6227,Alen,Smailagic,1629346.0
410.p.6228,Justin,James,1629713.0
410.p.6229,Eric,Paschall,1629672.0
410.p.6230,Admiral,Schofield,1629678.0
410.p.6231,Jaylen,Nowell,1629669.0
410.p.6232,Bol,Bol,1629626.0
410.p.6233,Isaiah,Roby,1629676.0
410.p.6234,Talen,Horton-Tucker,1629659.0
410.p.6235,Ignas,Brazdeikis,1629649.0
410.p.6236,Terance,Mann,1629611.0
410.p.6237,Quinndary,Weatherspoon,1629683.0
410.p.6238,Jarrell,Brantley,1629714.0
410.p.6239,Tremont,Waters,1629682.0
410.p.6240,Jalen,McDaniels,1629667.0
410.p.6243,Kyle,Guy,1629657.0
410.p.6246,Miye,Oni,1629671.0
410.p.6249,Jaylen,Hoard,1629658.0
410.p.6251,Jalen,Lecque,1629665.0
410.p.6252,Adam,Mokoka,1629690.0
410.p.6253,Naz,Reid,1629675.0
410.p.6254,Luguentz,Dort,1629652.0
410.p.6255,John,Konchar,1629723.0
410.p.6256,Dean,Wade,1629731.0
410.p.6257,Jeremiah,Martin,1629725.0
410.p.6258,Chris,Silva,1629735.0
410.p.6259,Garrison,Mathews,1629726.0
410.p.6264,Matt,Thomas,1629744.0
410.p.6266,Zylan,Cheatham,1629597.0
410.p.6267,Max,Strus,1629622.0
410.p.6268,Tacko,Fall,1629605.0
410.p.6269,Javonte,Green,1629750.0
410.p.6270,Nicolo,Melli,1629740.0
410.p.6271,Dakota,Mathias,1629751.0
410.p.6275,Caleb,Martin,1628997.0
410.p.6276,DaQuan,Jeffries,1629610.0
410.p.6279,Justin,Robinson,1629620.0
410.p.6280,Terence,Davis,1629056.0
410.p.6281,Kelan,Martin,1629103.0
410.p.6282,Tyler,Cook,1629076.0
410.p.6283,Hassani,Gravett,1629755.0
410.p.6284,Juwan,Morgan,1629752.0
410.p.6285,Armoni,Brooks,1629717.0
410.p.6289,Moses,Brown,1629650.0
410.p.6290,Oshae,Brissett,1629052.0
410.p.6292,Devontae,Cacok,1629719.0
410.p.6293,Charlie,Brown,1629718.0
410.p.6294,Brian,Bowen II,1628968.0
410.p.6307,Mychal,Mulder,1628539.0
410.p.6308,Robert,Franks,1629606.0
410.p.6312,Chris,Clemons,1629598.0
410.p.6315,Amir,Coffey,1629599.0
410.p.6322,Jared,Harper,1629607.0
410.p.6326,Marques,Bolden,1629716.0
410.p.6327,Daulton,Hommes,1629756.0
410.p.6329,Juan,Toscano-Anderson,1629308.0
410.p.6330,Keljin,Blevins,1629833.0
410.p.6334,Donta,Hall,1629743.0
410.p.6335,Louis,King,1629663.0
410.p.6337,Rayjon,Tucker,1629730.0
410.p.6342,Devin,Cannady,1629962.0
410.p.6353,Gabe,Vincent,1629216.0
410.p.6354,Jontay,Porter,1629007.0
410.p.6355,Anthony,Edwards,1630162.0
410.p.6356,James,Wiseman,1630164.0
410.p.6395,LaMelo,Ball,1630163.0
410.p.6396,Patrick,Williams,1630172.0
410.p.6397,Isaac,Okoro,1630171.0
410.p.6398,Onyeka,Okongwu,1630168.0
410.p.6399,Killian,Hayes,1630165.0
410.p.6400,Obi,Toppin,1630167.0
410.p.6401,Deni,Avdija,1630166.0
410.p.6402,Jalen,Smith,1630188.0
410.p.6403,Devin,Vassell,1630170.0
410.p.6404,Tyrese,Haliburton,1630169.0
410.p.6405,Kira,Lewis Jr.,1630184.0
410.p.6406,Aaron,Nesmith,1630174.0
410.p.6407,Cole,Anthony,1630175.0
410.p.6408,Isaiah,Stewart,1630191.0
410.p.6409,Aleksej,Pokusevski,1630197.0
410.p.6410,Josh,Green,1630182.0
410.p.6411,Saddiq,Bey,1630180.0
410.p.6412,Precious,Achiuwa,1630173.0
410.p.6413,Tyrese,Maxey,1630178.0
410.p.6414,Zeke,Nnaji,1630192.0
410.p.6415,Leandro,Bolmaro,1630195.0
410.p.6416,R.J.,Hampton,1630181.0
410.p.6417,Immanuel,Quickley,1630193.0
410.p.6418,Payton,Pritchard,1630202.0
410.p.6419,Udoka,Azubuike,1628962.0
410.p.6420,Jaden,McDaniels,1630183.0
410.p.6421,Malachi,Flynn,1630201.0
410.p.6422,Desmond,Bane,1630217.0
410.p.6423,Tyrell,Terry,1630179.0
410.p.6424,Vernon,Carey Jr.,1630176.0
410.p.6425,Daniel,Oturu,1630187.0
410.p.6426,Theo,Maledon,1630177.0
410.p.6427,Xavier,Tillman,1630214.0
410.p.6428,Tyler,Bey,1630189.0
410.p.6429,Vit,Krejci,1630249.0
410.p.6430,Saben,Lee,1630240.0
410.p.6431,Elijah,Hughes,1630190.0
410.p.6432,Robert,Woodard II,1630218.0
410.p.6433,Tre,Jones,1630200.0
410.p.6434,Nick,Richards,1630208.0
410.p.6435,Jahmi'us,Ramsey,1630186.0
410.p.6436,Marko,Simonovic,1630250.0
410.p.6437,Jordan,Nwora,1629670.0
410.p.6438,CJ,Elleby,1629604.0
410.p.6440,Nico,Mannion,1630185.0
410.p.6441,Isaiah,Joe,1630198.0
410.p.6442,Skylar,Mays,1630219.0
410.p.6444,KJ,Martin,1630231.0
410.p.6445,Cassius,Winston,1630216.0
410.p.6446,Cassius,Stanley,1630199.0
410.p.6447,Jay,Scrubb,1630206.0
410.p.6448,Grant,Riller,1630203.0
410.p.6449,Reggie,Perry,1629617.0
410.p.6450,Paul,Reed,1630194.0
410.p.6451,Jalen,Harris,1630223.0
410.p.6452,Sam,Merrill,1630241.0
410.p.6453,Mason,Jones,1630222.0
410.p.6454,Devon,Dotson,1629653.0
410.p.6455,Ty-Shon,Alexander,1630234.0
410.p.6456,Mamadi,Diakite,1629603.0
410.p.6459,Lamar,Stevens,1630205.0
410.p.6460,Killian,Tillie,1629681.0
410.p.6461,Sean,McDermott,1630253.0
410.p.6462,Nathan,Knight,1630233.0
410.p.6463,Jae'Sean,Tate,1630256.0
410.p.6464,Trent,Forrest,1630235.0
410.p.6465,Ashton,Hagans,1630204.0
410.p.6466,Markus,Howard,1630210.0
410.p.6468,Facundo,Campazzo,1630267.0
410.p.6469,Freddie,Gillespie,1630273.0
410.p.6471,Anthony,Gill,1630264.0
410.p.6472,Nate,Hinton,1630207.0
410.p.6474,Nate,Darling,1630268.0
410.p.6475,Javin,DeLaurier,1629602.0
410.p.6476,Xavier,Sneed,1630270.0
410.p.6478,Jordan,Bowden,
410.p.6480,Malik,Fitts,1630238.0
410.p.6483,Brodric,Thomas,1630271.0
410.p.6489,Myles,Powell,
410.p.6490,Jon,Teske,1630257.0
410.p.6492,Caleb,Homesley,1630258.0
410.p.6496,Anthony,Lamb,1630237.0
410.p.6497,Karim,Mane,1630211.0
410.p.6498,Josh,Hall,1630221.0
410.p.6499,Naji,Marshall,1630230.0
410.p.6500,Trevelin,Queen,1630243.0
410.p.6506,Shaq,Buchanan,1629783.0
410.p.6508,Gabriel,Deck,1630466.0
410.p.6509,Luca,Vildoza,1630492.0
410.p.6510,Elijah,Bryant,1629091.0
410.p.6511,Omer,Yurtseven,1630209.0
410.p.6512,Cade,Cunningham,1630595.0
410.p.6513,Jalen,Green,1630224.0
410.p.6514,Evan,Mobley,1630596.0
410.p.6515,Scottie,Barnes,1630567.0
410.p.6516,Jalen,Suggs,1630591.0
410.p.6548,Josh,Giddey,1630581.0
410.p.6549,Jonathan,Kuminga,1630228.0
410.p.6550,Franz,Wagner,1630532.0
410.p.6551,Davion,Mitchell,1630558.0
410.p.6552,Ziaire,Williams,1630533.0
410.p.6553,James,Bouknight,1630547.0
410.p.6554,Joshua,Primo,1630563.0
410.p.6555,Chris,Duarte,1630537.0
410.p.6556,Moses,Moody,1630541.0
